seed,channel,calibrated,parameter,truth,posterior_mean,posterior_sd,q025,q975,relative_bias,covered_95,covered_50,interval_width_95,max_r_hat,min_ess_bulk,divergences,divergence_rate,seconds
4,social,True,roas,1.7838504858085769,1.607997316275892,0.2818058638399454,1.067126487061018,2.177985098796515,-0.09858066633481044,True,True,1.110858611735497,1.01,178.0,9,0.009,137.82832193374634
4,social,True,half_saturation,1.1954606695117032,1.1819017822197415,0.26893069080118337,0.8545296560476631,1.8562109134442581,-0.011341976894563911,True,True,1.0016812573965952,1.01,178.0,9,0.009,137.82832193374634
4,social,True,beta,0.18708399621641245,0.16515997823934908,0.027387179201159493,0.12138844999988962,0.22815302642314741,-0.1171880995726775,True,False,0.10676457642325779,1.01,178.0,9,0.009,137.82832193374634
4,social,True,slope,1.4,1.7770361996298047,0.4153967652002228,1.066588746032408,2.5911346682640843,0.26931157116414634,True,False,1.5245459222316764,1.01,178.0,9,0.009,137.82832193374634
4,social,True,decay,0.45,0.3783402107802543,0.06664086477218018,0.2308920049302971,0.5005017487248987,-0.15924397604387933,True,False,0.2696097437946016,1.01,178.0,9,0.009,137.82832193374634
4,video,False,roas,1.5765441205350323,2.3981635753917105,0.80550627620094,1.1752944625527821,4.209357278310196,0.5211522114445137,True,False,3.034062815757414,1.01,178.0,9,0.009,137.82832193374634
4,video,False,half_saturation,1.6685796690646624,1.8401937207014163,0.92782753105547,0.7839939998891228,4.367606010356032,0.10285037916886147,True,True,3.583612010466909,1.01,178.0,9,0.009,137.82832193374634
4,video,False,beta,0.12800483951649272,0.18379901087052747,0.048568457248543605,0.10173845258925936,0.2985233968875653,0.43587548380814134,True,False,0.19678494429830595,1.01,178.0,9,0.009,137.82832193374634
4,video,False,slope,1.8,1.3264549127255387,0.3845643795585578,0.7653455700506887,2.268516126999988,-0.2630806040413674,True,False,1.503170556949299,1.01,178.0,9,0.009,137.82832193374634
4,video,False,decay,0.65,0.571394933314573,0.05425492388841851,0.45587099185040214,0.6678267589103868,-0.12093087182373383,True,False,0.21195576705998465,1.01,178.0,9,0.009,137.82832193374634
4,tv,False,roas,1.0838273706387733,1.3288791131368807,0.31037160516432466,0.9511926459313973,2.1652458366214327,0.22609849975802113,True,False,1.2140531906900354,1.01,178.0,9,0.009,137.82832193374634
4,tv,False,half_saturation,4.094381982302979,4.855385162425051,1.9786837543793079,2.5936551118198445,10.102109836026898,0.18586521321443214,True,True,7.508454724207054,1.01,178.0,9,0.009,137.82832193374634
4,tv,False,beta,0.15262115480812596,0.19329620283734472,0.06116312395384308,0.1155671954249083,0.33090424970408777,0.26650989556693555,True,True,0.21533705427917949,1.01,178.0,9,0.009,137.82832193374634
4,tv,False,slope,2.0,1.6421910584259765,0.43232182038184536,0.8978072942439745,2.625392906891973,-0.17890447078701177,True,False,1.7275856126479983,1.01,178.0,9,0.009,137.82832193374634
4,email,False,roas,4.285557045787689,2.548231305255854,3.471291813949792,0.054213188071699704,12.354041849793692,-0.4053908796382649,True,False,12.299828661721993,1.01,178.0,9,0.009,137.82832193374634
4,email,False,half_saturation,1.2264052591771168,4.64079412255981,5.094936690489465,0.22023727013119224,17.692667617768034,2.7840624767653486,True,True,17.47243034763684,1.01,178.0,9,0.009,137.82832193374634
4,email,False,beta,0.04677099905410311,0.06792164250783525,0.06799246551751369,0.0036766727857865285,0.24377417604163137,0.4522170550444259,True,True,0.24009750325584484,1.01,178.0,9,0.009,137.82832193374634
4,email,False,slope,1.0,1.469375580218919,0.6652716295739737,0.5869535643899432,3.0089079027661314,0.469375580218919,True,True,2.4219543383761883,1.01,178.0,9,0.009,137.82832193374634
4,email,False,decay,0.3,0.5046434463643834,0.22065816326603788,0.09636124010831479,0.8852267920102531,0.6821448212146114,True,False,0.7888655519019383,1.01,178.0,9,0.009,137.82832193374634
5,search,True,roas,2.209266591963968,1.5108710453990932,0.3091329485887305,0.9765006728349649,2.1562720695845656,-0.3161209919641356,False,False,1.1797713967496009,1.02,185.0,37,0.037,82.75726008415222
5,search,True,half_saturation,1.208961237296478,1.3396181752411753,0.25157667620717217,0.9595434017502911,1.9309291634501362,0.1080737197471087,True,True,0.9713857616998451,1.02,185.0,37,0.037,82.75726008415222
5,search,True,beta,0.25649883016731617,0.19385081383860706,0.03169694722152054,0.13642891616754094,0.26772761863738315,-0.2442428929903631,True,False,0.1312987024698422,1.02,185.0,37,0.037,82.75726008415222
5,search,True,slope,1.1,1.6650789097032261,0.36572014806707964,1.0738827592809568,2.5482045682529555,0.5137080997302055,True,False,1.4743218089719987,1.02,185.0,37,0.037,82.75726008415222
5,search,True,decay,0.15,0.0943807881432037,0.048234152267704354,0.01866680655453493,0.1967704818913138,-0.3707947457119753,True,False,0.17810367533677887,1.02,185.0,37,0.037,82.75726008415222
5,social,True,roas,1.8991787923853627,2.299614293140669,0.34675679090843686,1.6780865655747177,2.9918903687261174,0.21084665770322797,True,False,1.3138038031513997,1.02,185.0,37,0.037,82.75726008415222
5,social,True,half_saturation,1.236953435785579,1.143291040036496,0.5286962055501019,0.7189101649538274,2.124854691754765,-0.07572022764915055,True,False,1.4059445268009376,1.02,185.0,37,0.037,82.75726008415222
5,social,True,beta,0.18744145281457722,0.20749625943425865,0.03690555172048014,0.1559329630640415,0.2854988219932156,0.10699237718521233,True,True,0.12956585892917408,1.02,185.0,37,0.037,82.75726008415222
5,social,True,slope,1.4,1.2722025715057321,0.2879837277694739,0.7933869035652928,1.8894391007806342,-0.09128387749590557,True,True,1.0960521972153412,1.02,185.0,37,0.037,82.75726008415222
5,social,True,decay,0.45,0.4161246582456289,0.06878711574218195,0.2743912733757127,0.5408727881616654,-0.07527853723193582,True,True,0.2664815147859527,1.02,185.0,37,0.037,82.75726008415222
5,video,False,roas,1.5791402041115203,2.2235590639645286,0.892186669488957,0.9249547883491253,4.287349220777686,0.40808210580363313,True,True,3.3623944324285606,1.02,185.0,37,0.037,82.75726008415222
5,video,False,half_saturation,1.7355837526512052,2.395768000447014,1.168329941056828,0.7676852633908152,5.270272389900313,0.3803816708858554,True,True,4.502587126509498,1.02,185.0,37,0.037,82.75726008415222
5,video,False,beta,0.12824941508365809,0.18704190465478934,0.04063813171539259,0.11706486785549731,0.28186162057932457,0.4584230620683959,True,False,0.16479675272382727,1.02,185.0,37,0.037,82.75726008415222
5,video,False,slope,1.8,1.235023082485423,0.3114021208395314,0.7322284108552747,1.9155132377272717,-0.3138760652858762,True,False,1.183284826871997,1.02,185.0,37,0.037,82.75726008415222
5,video,False,decay,0.65,0.6583219594374956,0.06543264189764808,0.5051572879485461,0.7608145868037088,0.012803014519223976,True,True,0.25565729885516275,1.02,185.0,37,0.037,82.75726008415222
5,tv,False,roas,1.1464670509124764,1.115039518490861,0.16850054094392886,0.8964834778155695,1.5306422689504449,-0.027412503827826604,True,True,0.6341587911348754,1.02,185.0,37,0.037,82.75726008415222
5,tv,False,half_saturation,3.3928603377549367,4.763198081141229,1.3461421227498978,2.955037848090214,7.507600463055171,0.40388863877994097,True,False,4.552562614964957,1.02,185.0,37,0.037,82.75726008415222
5,tv,False,beta,0.15291276413820773,0.1988532244760886,0.04963182271305739,0.13277590916363333,0.30350137832498186,0.30043574581097976,True,False,0.17072546916134854,1.02,185.0,37,0.037,82.75726008415222
5,tv,False,slope,2.0,1.8086612455217415,0.39151574440096576,1.1713565322703308,2.654983990958379,-0.09566937723912927,True,True,1.4836274586880482,1.02,185.0,37,0.037,82.75726008415222
5,email,False,roas,4.278955792285155,7.689315455055241,6.056592948551415,1.138272156938253,21.38952745299759,0.7970074542295753,True,True,20.251255296059337,1.02,185.0,37,0.037,82.75726008415222
5,email,False,half_saturation,1.2123675251146355,4.482248395160725,3.4071438167688943,0.33856685631224265,12.110989200943212,2.697103644158487,True,False,11.77242234463097,1.02,185.0,37,0.037,82.75726008415222
5,email,False,beta,0.046860363203644305,0.15832636136775283,0.05008175505031307,0.0670760044032464,0.25142429169770864,2.378684042197946,False,False,0.18434828729446223,1.02,185.0,37,0.037,82.75726008415222
5,email,False,slope,1.0,1.1500843095899533,0.4614631719643157,0.5197892758811272,2.2276426671565335,0.15008430958995334,True,True,1.7078533912754064,1.02,185.0,37,0.037,82.75726008415222
5,email,False,decay,0.3,0.33891618310412547,0.14774539261686556,0.08301180778749949,0.645702009939527,0.12972061034708493,True,True,0.5626902021520275,1.02,185.0,37,0.037,82.75726008415222
6,search,True,roas,2.3044787671448836,1.8656423994763798,0.3870831925941557,1.1129822688238962,2.6114783168209206,-0.19042760294649919,True,False,1.4984960479970244,1.02,197.0,17,0.017,159.14993405342102
6,search,True,half_saturation,1.2206864513931006,1.895362402215163,0.8946615932369472,0.9552450878879216,4.269649985758103,0.5527020882816326,True,False,3.3144048978701814,1.02,197.0,17,0.017,159.14993405342102
6,search,True,beta,0.25968533381556663,0.26276975852610424,0.06388487580158567,0.17013593407552055,0.41443765465827964,0.01187754681875188,True,True,0.2443017205827591,1.02,197.0,17,0.017,159.14993405342102
6,search,True,slope,1.1,1.1480457895034248,0.25152080982859537,0.7538070490960902,1.6993104555926983,0.04367799045765886,True,True,0.9455034064966081,1.02,197.0,17,0.017,159.14993405342102
6,search,True,decay,0.15,0.22431910009445033,0.07857060008445363,0.07274512241202144,0.3810503723659763,0.4954606672963356,True,False,0.3083052499539548,1.02,197.0,17,0.017,159.14993405342102
6,social,True,roas,1.9071385765753461,2.0574554032588352,0.3724321670468377,1.298871505909138,2.7744735723326253,0.07881798865052242,True,True,1.4756020664234872,1.02,197.0,17,0.017,159.14993405342102
6,social,True,half_saturation,1.2330615429824456,1.0191515440269268,0.3911273742382852,0.6538451859411852,2.0474923637294844,-0.17347876930629746,True,False,1.3936471777882993,1.02,197.0,17,0.017,159.14993405342102
6,social,True,beta,0.18977005163445254,0.17567884983364745,0.03310006236757632,0.12137659569514375,0.2485512411657116,-0.07425408635050845,True,True,0.12717464547056784,1.02,197.0,17,0.017,159.14993405342102
