seed,channel,calibrated,parameter,truth,posterior_mean,posterior_median,posterior_sd,q025,q975,relative_bias,relative_bias_median,covered_95,covered_50,interval_width_95,max_r_hat,min_ess_bulk,divergences,divergence_rate,seconds
6,search,False,beta,0.25968533381556663,0.28791855589765697,0.2741498538598315,0.08527106581173931,0.16494588194371892,0.48477205720190386,0.10872089565959893,0.05570018079857302,True,True,0.3198261752581849,1.01,401.0,12,0.012,54.620118141174316
6,search,False,slope,1.1,1.1576791279310588,1.1107919843751197,0.3040779017886086,0.698864630623045,1.8700470462053218,0.05243557084641697,0.009810894886472394,True,True,1.1711824155822768,1.01,401.0,12,0.012,54.620118141174316
6,search,False,decay,0.15,0.21764026525478,0.21327494205322683,0.08043446214335663,0.07321891752599334,0.37002650793156244,0.4509351016985334,0.4218329470215123,True,False,0.2968075904055691,1.01,401.0,12,0.012,54.620118141174316
6,social,False,roas,1.9071385765753461,1.7831315794954616,1.6852189351868905,0.5930006698462655,0.8777476126989765,3.152282269735388,-0.06502254141519395,-0.11636261995547138,True,True,2.274534657036411,1.01,401.0,12,0.012,54.620118141174316
6,social,False,half_saturation,1.2330615429824456,1.0939974807418071,1.0249970322360897,0.38362772775798737,0.6050350308513289,2.0626018284107746,-0.11277949834059359,-0.1687381395766375,True,False,1.4575667975594455,1.01,401.0,12,0.012,54.620118141174316
6,social,False,beta,0.18977005163445254,0.15751008628611965,0.1529795810207368,0.04321566235869813,0.08999093952045284,0.25361080464847024,-0.16999502856475027,-0.19386868632245483,True,False,0.1636198651280174,1.01,401.0,12,0.012,54.620118141174316
6,social,False,slope,1.4,1.7183739180071385,1.6337003576401679,0.6046833114045393,0.83822471859178,3.210548370753653,0.2274099414336704,0.16692882688583427,True,True,2.3723236521618727,1.01,401.0,12,0.012,54.620118141174316
6,social,False,decay,0.45,0.44711093694573006,0.4493813422705565,0.0813480444152894,0.2853024305326368,0.5941333915251142,-0.006420140120599882,-0.0013747949543189513,True,True,0.3088309609924774,1.01,401.0,12,0.012,54.620118141174316
6,video,False,roas,1.5793319674197783,2.1764745091583375,2.011409948447846,0.7853697251060966,1.0729195116851924,4.068823217988171,0.37809817951962077,0.27358274887196254,True,False,2.995903706302978,1.01,401.0,12,0.012,54.620118141174316
6,video,False,half_saturation,1.7176532028253988,1.9563934448739784,1.6529126910539758,1.0588053620016178,0.8375041218564635,4.623112110663935,0.1389921094990953,-0.0376912590183689,True,True,3.785607988807471,1.01,401.0,12,0.012,54.620118141174316
6,video,False,beta,0.12984266690778332,0.17113793620277742,0.16134917508066865,0.052462023770853454,0.09517880316661179,0.28467695317386965,0.3180408280147448,0.2426514251687532,True,False,0.18949815000725787,1.01,401.0,12,0.012,54.620118141174316
6,video,False,slope,1.8,1.4356053501066484,1.3753138071184705,0.4301141050046216,0.7888052951212207,2.4609558253102515,-0.20244147216297315,-0.23593677382307196,True,False,1.6721505301890307,1.01,401.0,12,0.012,54.620118141174316
6,video,False,decay,0.65,0.5960425187693087,0.6052407404147591,0.07259300939960858,0.43112244719479215,0.7159102846135119,-0.08301150958567896,-0.06886039936190917,True,False,0.28478783741871977,1.01,401.0,12,0.012,54.620118141174316
6,tv,False,roas,1.0740911789890981,1.8531683531188212,1.7573255193877655,0.48123177179961935,1.177576137707109,3.0223519120670184,0.7253361626737935,0.6361046005812158,False,False,1.8447757743599094,1.01,401.0,12,0.012,54.620118141174316
6,tv,False,half_saturation,4.280612333911604,3.368527230359554,2.9491249424768426,1.5561635816110977,1.6769587423495316,7.477895971875462,-0.21307351201284577,-0.3110506833068095,True,False,5.80093722952593,1.01,401.0,12,0.012,54.620118141174316
6,tv,False,beta,0.1548124105438955,0.18391313584122002,0.17590514685911804,0.048966949174196445,0.11607482724087814,0.3012829651083512,0.18797411134602354,0.13624706340479023,True,True,0.18520813786747303,1.01,401.0,12,0.012,54.620118141174316
6,tv,False,slope,2.0,1.4117732300893158,1.353472291554672,0.3877218282810834,0.8240879117859243,2.2730022424927245,-0.2941133849553421,-0.323263854222664,True,False,1.4489143307068002,1.01,401.0,12,0.012,54.620118141174316
6,email,False,roas,4.2976220451533695,1.5227464952045588,1.2548063657398338,1.0853292860641228,0.36774968589680407,4.128092149483577,-0.645676962933064,-0.7080230991566748,False,False,3.760342463586773,1.01,401.0,12,0.012,54.620118141174316
6,email,False,half_saturation,1.2099600019582593,2.0926213819050936,1.5362450020222123,2.0055162004890437,0.28541532065934333,7.61924974397446,0.7294963292326122,0.26966593898631125,True,True,7.333834423315117,1.01,401.0,12,0.012,54.620118141174316
6,email,False,beta,0.047442512908613135,0.024586753993806155,0.018161614236922273,0.023757829741965483,0.0033396198771610155,0.0837319418178063,-0.48175692039823514,-0.617186925323573,True,False,0.08039232194064529,1.01,401.0,12,0.012,54.620118141174316
6,email,False,slope,1.0,1.3283525796414437,1.2632540749960808,0.4869356265946669,0.6027562391163519,2.5083072029556988,0.3283525796414437,0.2632540749960808,True,False,1.9055509638393469,1.01,401.0,12,0.012,54.620118141174316
6,email,False,decay,0.3,0.35651898391650383,0.3358053697605308,0.18381590199817008,0.054267283809495095,0.7686294805728072,0.18839661305501282,0.1193512325351028,True,True,0.7143621967633121,1.01,401.0,12,0.012,54.620118141174316
7,search,False,roas,2.3255291504453273,1.7647302573623813,1.7099606075326934,0.5497996106683822,0.8892346619463445,3.056169719839234,-0.2411489415110345,-0.26470042002903105,True,False,2.1669350578928896,1.01,414.0,1,0.001,47.16027522087097
7,search,False,half_saturation,1.267807254822548,1.4533690941039568,1.345312433326039,0.4976003222587991,0.886256257586149,2.734491016743132,0.14636439299077944,0.061133250506867486,True,True,1.848234759156983,1.01,414.0,1,0.001,47.16027522087097
7,search,False,beta,0.25772744856546664,0.2161997263824829,0.20805641846459438,0.05756307126567572,0.12839071155418685,0.34800991332677683,-0.16113038178172587,-0.19272696942970385,True,False,0.21961920177258998,1.01,414.0,1,0.001,47.16027522087097
7,search,False,slope,1.1,1.6071502440141407,1.5168986863575615,0.5112304119607407,0.8758665765719745,2.8101787161553946,0.46104567637649146,0.37899880577960127,True,False,1.9343121395834202,1.01,414.0,1,0.001,47.16027522087097
7,search,False,decay,0.15,0.22450334525598464,0.22587196417377936,0.07421656439105001,0.08108321195531983,0.3748621698515843,0.496688968373231,0.5058130944918625,True,False,0.2937789578962645,1.01,414.0,1,0.001,47.16027522087097
7,social,False,roas,1.8418954377340806,1.897145025312757,1.8326211683278828,0.5521729245031585,1.01490339666293,3.028697556866177,0.02999604996396816,-0.005035176924922028,True,True,2.013794160203247,1.01,414.0,1,0.001,47.16027522087097
7,social,False,half_saturation,1.2070944399269075,1.768349810413678,1.5404400380117957,0.8414908649887844,0.8535206912812624,4.051922722000115,0.4649639265348251,0.2761553587348751,True,False,3.1984020307188525,1.01,414.0,1,0.001,47.16027522087097
7,social,False,beta,0.18833928933630256,0.23177549108186066,0.22094379323031238,0.062371908135561684,0.14097214469992422,0.38078258873341186,0.2306274059896101,0.17311578486308576,True,True,0.23981044403348764,1.01,414.0,1,0.001,47.16027522087097
7,social,False,slope,1.4,1.322481342375627,1.2758340810915718,0.3599185206796488,0.7479668598754278,2.1246726488603858,-0.05537046973169495,-0.08868994207744865,True,True,1.376705788984958,1.01,414.0,1,0.001,47.16027522087097
7,social,False,decay,0.45,0.4788515544691395,0.48229016250119217,0.07121384020930845,0.3270870427387226,0.606560512566372,0.06411456548697668,0.0717559166693159,True,True,0.2794734698276494,1.01,414.0,1,0.001,47.16027522087097
7,video,False,roas,1.5847359215171395,1.7026234787224348,1.5793919379721633,0.6409925143822757,0.7766069621591123,3.342799618005407,0.07438940179537055,-0.0033721602901890368,True,True,2.5661926558462946,1.01,414.0,1,0.001,47.16027522087097
7,video,False,half_saturation,1.710998260274792,2.634346566641402,2.1993745995121916,1.675598329076382,0.9750815653923769,7.027041055651409,0.5396547312785213,0.2854335685642163,True,True,6.051959490259033,1.01,414.0,1,0.001,47.16027522087097
7,video,False,beta,0.12886372428273332,0.166736806558934,0.15241224500743997,0.11937524896925703,0.08338887710413247,0.309081665568521,0.2939002615903393,0.18273971868948966,True,True,0.22569278846438856,1.01,414.0,1,0.001,47.16027522087097
7,video,False,slope,1.8,1.4029630191891445,1.3474400560585442,0.4289664950685618,0.7923723508843795,2.49953923848024,-0.22057610045047532,-0.25142219107858654,True,False,1.7071668875958603,1.01,414.0,1,0.001,47.16027522087097
7,video,False,decay,0.65,0.6572499211515759,0.6637422555983863,0.06535561980443516,0.5089415664629474,0.7636076251732814,0.01115372484857824,0.021141931689825023,True,True,0.254666058710334,1.01,414.0,1,0.001,47.16027522087097
7,tv,False,roas,1.135680262155725,1.7706924044358587,1.7004572514306044,0.41699420075197435,1.1912992399639004,2.8058718976695025,0.5591469390114845,0.497302813208034,False,False,1.614572657705602,1.01,414.0,1,0.001,47.16027522087097
7,tv,False,half_saturation,3.768828544638475,3.138696264789205,2.7770178934333773,1.2553461717683332,1.7360448916120674,6.3307336277646735,-0.16719579370244744,-0.26316152073727117,True,False,4.594688736152606,1.01,414.0,1,0.001,47.16027522087097
7,tv,False,beta,0.15364520972172052,0.18585818443397556,0.17573763568141684,0.054301522573239926,0.10776976840330196,0.3124329240026641,0.2096581778930733,0.14378857629020605,True,True,0.20466315559936213,1.01,414.0,1,0.001,47.16027522087097
7,tv,False,slope,2.0,1.5387662182588544,1.4247335082476404,0.5269910537373069,0.8300444495778522,2.8376815041892565,-0.2306168908705728,-0.2876332458761798,True,False,2.007637054611404,1.01,414.0,1,0.001,47.16027522087097
7,email,False,roas,4.323644948860499,2.415029206209129,2.106599895027774,1.464305713102139,0.6056558126201771,6.144712345787369,-0.44143674266185706,-0.5127722280750712,True,False,5.539056533167192,1.01,414.0,1,0.001,47.16027522087097
7,email,False,half_saturation,1.2179744624068998,2.1171686112884895,1.5661103932401916,1.8519911238091462,0.4532753545944329,6.868504704483925,0.7382701170143154,0.28583188037072893,True,True,6.415229349889493,1.01,414.0,1,0.001,47.16027522087097
7,email,False,beta,0.04708482233407564,0.03845329971876919,0.03141276033228452,0.03159285671204998,0.00700540932376397,0.11318671178614816,-0.18331857671808074,-0.3328474277888298,True,True,0.10618130246238419,1.01,414.0,1,0.001,47.16027522087097
7,email,False,slope,1.0,1.4446183289822239,1.3616617843442897,0.48413503777422484,0.7080478820381112,2.5777861809366294,0.44461832898222386,0.36166178434428975,True,False,1.8697382988985183,1.01,414.0,1,0.001,47.16027522087097
7,email,False,decay,0.3,0.41161447704045107,0.40751484583409714,0.18309750137304182,0.08045498739386582,0.7701480597212852,0.3720482568015036,0.3583828194469905,True,True,0.6896930723274194,1.01,414.0,1,0.001,47.16027522087097
8,search,False,roas,2.4277317406820424,2.0567003338105256,1.9447614615227335,0.6428575967597975,1.10114967154788,3.6541511894896996,-0.1528304798483542,-0.19893889883551308,True,False,2.5530015179418197,1.01,494.0,96,0.096,49.975560903549194
8,search,False,half_saturation,1.26317647245146,1.6683795367490277,1.467906020807252,0.8383074075585359,0.7491956037555533,4.056428278575521,0.3207810413941496,0.16207517541747055,True,True,3.307232674819968,1.01,494.0,96,0.096,49.975560903549194
8,search,False,beta,0.25893272291150043,0.2494246332501853,0.23929913507368442,0.06625166178698406,0.14960258146917,0.40647792810553485,-0.03672030925409482,-0.07582505454332437,True,True,0.25687534663636485,1.01,494.0,96,0.096,49.975560903549194
8,search,False,slope,1.1,1.2447396531591897,1.2046683561236065,0.3169882490982801,0.7141407036045221,1.939436493776396,0.13158150287199052,0.09515305102146032,True,True,1.2252957901718737,1.01,494.0,96,0.096,49.975560903549194
8,search,False,decay,0.15,0.1470655902106034,0.13692892647738752,0.07237733393001503,0.03190050390102335,0.30321990294123535,-0.019562731929310684,-0.0871404901507498,True,True,0.271319399040212,1.01,494.0,96,0.096,49.975560903549194
8,social,False,roas,1.8995125649894447,1.8521684879112088,1.7869652917414922,0.6051916463465045,0.9361577155819631,3.300178921641119,-0.024924329510028237,-0.059250607404420015,True,True,2.3640212060591557,1.01,494.0,96,0.096,49.975560903549194
8,social,False,half_saturation,1.230733263805859,2.4133885140703946,2.0180448682177285,1.4439062964166673,0.9732758958712966,5.820112455735535,0.9609354724088228,0.6397093729125561,True,False,4.846836559864238,1.01,494.0,96,0.096,49.975560903549194
8,social,False,beta,0.18922006674301955,0.26133622414765545,0.24855594724293284,0.07867310065809532,0.14676290248887097,0.4420942972924093,0.3811232003346511,0.3135813316274619,True,False,0.2953313948035383,1.01,494.0,96,0.096,49.975560903549194
8,social,False,slope,1.4,1.2219478883232358,1.1742997075678923,0.313460328241484,0.7700332223257687,1.9597606852946596,-0.12718007976911727,-0.16121449459436263,True,True,1.189727462968891,1.01,494.0,96,0.096,49.975560903549194
8,social,False,decay,0.45,0.5059792600731089,0.509292825382627,0.05648087675603506,0.3881446229778663,0.6086365254152841,0.12439835571801974,0.1317618341836155,True,False,0.22049190243741784,1.01,494.0,96,0.096,49.975560903549194
8,video,False,roas,1.5752099961266188,2.281733930192691,2.141566651329523,0.7762680310751311,1.177977662704638,4.306272500584016,0.44852682233060187,0.3595435888519965,True,False,3.128294837879378,1.01,494.0,96,0.096,49.975560903549194
8,video,False,half_saturation,1.7784669427813369,2.344882247593299,1.9110257438832747,1.5730251939022317,0.9001832300566183,6.088678766535873,0.3184851464970991,0.07453543156367569,True,True,5.188495536479254,1.01,494.0,96,0.096,49.975560903549194
8,video,False,beta,0.12946636145575022,0.19213863076901164,0.17916933218260572,0.06478453342688364,0.10692772821853672,0.34532882761583505,0.48408149119632066,0.3839064461840405,True,False,0.23840109939729834,1.01,494.0,96,0.096,49.975560903549194
8,video,False,slope,1.8,1.3409700387572812,1.2956193272312544,0.3694766167278518,0.7611380669787218,2.152980421790238,-0.25501664513484384,-0.28021148487152536,True,False,1.3918423548115164,1.01,494.0,96,0.096,49.975560903549194
8,video,False,decay,0.65,0.6641305697805983,0.6701152943456854,0.05656467433223685,0.5330039785309763,0.7530426189322323,0.02173933812399728,0.030946606685669807,True,True,0.2200386404012561,1.01,494.0,96,0.096,49.975560903549194
8,tv,False,roas,1.1042657171592514,1.31312561829272,1.2735808070905863,0.23912389803535947,0.9706203133223177,1.9383081841083138,0.18913916993707408,0.15332821376262756,True,False,0.9676878707859962,1.01,494.0,96,0.096,49.975560903549194
8,tv,False,half_saturation,4.052375038704271,6.021874099790418,5.249754415637792,2.929779061590025,2.9553969014487906,14.266304721155883,0.4860110533392006,0.295475953113258,True,False,11.310907819707094,1.01,494.0,96,0.096,49.975560903549194
8,tv,False,beta,0.15436373865877911,0.2299602566491589,0.2094186029931861,0.08982921491190482,0.1258958727016987,0.4623750168536795,0.4897297684496085,0.35665671752163053,True,False,0.33647914415198077,1.01,494.0,96,0.096,49.975560903549194
